DATE,FIXHAI
2023-07-01,93.9
2023-08-01,92.4
2023-09-01,94.5
2023-10-01,91.4
2023-11-01,94.2
2023-12-01,102.2
2024-01-01,105.7
2024-02-01,103.2
2024-03-01,101.2
2024-04-01,96.1
2024-05-01,93.5
2024-06-01,93.3
